dateGrouping,,nuRepos,startDates,cumAuthors,cumCommits,cumCheckers,windowAuthors,windowCommits,windowCheckers,ginisCumAuthors,ginisCumCommits,ginisWindowAuthors,ginisWindowCommits,totalLinesAddedPerPeriod,cumLinesAdded,sumOfCommit,cumCommit,uniqueAuthorNum,cumAuthorNumber,giniLoCWindow,giniLoCCum,giniCommitWindow,giniCommitCum
2,519,wix/react-native-navigation,2016/7/1,18,908,1,12,677,1,0.944444444,0.998898678,0.916666667,0.998522895,37863,69593,399,1129,15,21,0.974917088,0.927011337,0.952232706,0.893630626
3,520,wix/react-native-navigation,2016/10/1,25,1222,2,16,314,1,0.92,0.998363339,0.9375,0.996815287,39455,109048,420,1549,22,35,0.934394216,0.942687947,0.829434518,0.876907796
4,521,wix/react-native-navigation,2017/1/1,44,1732,3,28,510,1,0.962121212,0.998267898,0.964285714,0.998039216,28279,137327,544,2093,42,69,0.942363505,0.963209754,0.810490406,0.863372676
5,522,wix/react-native-navigation,2017/4/1,77,2209,8,42,477,5,0.974025974,0.997170665,0.957142857,0.992872117,19950,157277,292,2385,40,96,0.930752522,0.966024276,0.883370281,0.865787446
6,523,wix/react-native-navigation,2017/7/1,103,2439,9,38,230,1,0.975188781,0.997038859,0.973684211,0.995652174,9419,166696,176,2561,33,118,0.914819779,0.96831973,0.826736839,0.863544533
7,524,wix/react-native-navigation,2017/10/1,127,2697,17,40,258,8,0.979157017,0.99609588,0.96875,0.985465116,38268,204964,403,2964,47,147,0.906843497,0.966720517,0.836260061,0.860255528
8,525,wix/react-native-navigation,2018/1/1,156,3155,49,42,458,32,0.984170591,0.993887254,0.952380952,0.97871179,27855,232819,504,3468,51,186,0.936716568,0.969386914,0.845919921,0.858505445
9,526,wix/react-native-navigation,2018/4/1,193,3580,76,51,425,27,0.988682847,0.991502499,0.977487291,0.973594771,15275,248094,318,3786,50,225,0.92711313,0.971932046,0.809049446,0.855420088
10,527,wix/react-native-navigation,2018/7/1,237,3867,118,53,287,42,0.992562397,0.991137526,0.981132075,0.976273436,14555,262649,249,4035,45,261,0.936194997,0.971846047,0.825652974,0.853651689
11,528,wix/react-native-navigation,2018/10/1,266,4087,128,40,220,10,0.99318609,0.990579887,0.97,0.979090909,9317,271966,157,4192,42,291,0.923528195,0.972177506,0.844677361,0.85321404
12,529,wix/react-native-navigation,2019/1/1,298,4226,145,47,139,17,0.994237445,0.990082739,0.978723404,0.972492594,3018,274984,103,4295,31,306,0.896178485,0.97233532,0.7338323,0.852043869
13,530,wix/react-native-navigation,2019/4/1,312,4310,151,26,84,6,0.993950586,0.989937155,0.923076923,0.976190476,5978,280962,82,4377,27,324,0.970211288,0.973447617,0.901085875,0.853005435
14,531,wix/react-native-navigation,2019/7/1,326,4410,177,26,100,26,0.994610239,0.9897293,0.961538462,0.965384615,4257,285219,87,4464,21,332,0.904157858,0.973137894,0.810375251,0.852302551
15,532,wix/react-native-navigation,2019/10/1,335,4519,195,19,109,18,0.994381936,0.98959039,0.929824561,0.977573904,13578,298797,159,4623,21,344,0.930380027,0.973232936,0.863848071,0.852735458
16,533,wix/react-native-navigation,2020/1/1,350,4682,210,27,163,15,0.994503401,0.988979069,0.958024691,0.970961145,12000,310797,142,4765,26,360,0.962553333,0.974224557,0.859339243,0.852907746
17,534,wix/react-native-navigation,2020/4/1,367,4807,221,27,125,11,0.994883302,0.989394237,0.962962963,0.992,14112,324909,131,4896,23,374,0.90491007,0.973887595,0.849784144,0.853121134
18,535,wix/react-native-navigation,2020/7/1,371,4856,247,11,49,26,0.995187533,0.989944407,0.909090909,0.974882261,39919,364828,147,5043,13,380,0.847495345,0.973212258,0.909696931,0.861510698
0,536,bumptech/glide,2012/10/1,1,47,0,1,47,0,0,NA,0,NA,8103,8103,128,128,1,1,1,1,0.786090696,0.786090696
1,537,bumptech/glide,2013/1/1,1,129,0,1,82,0,0,NA,0,NA,469,8572,18,146,1,1,1,1,0.547974414,0.776597422
2,538,bumptech/glide,2013/4/1,1,174,0,1,45,0,0,NA,0,NA,9178,17750,197,343,1,1,1,1,0.700442718,0.73676567
3,539,bumptech/glide,2013/7/1,1,360,0,1,186,0,0,NA,0,NA,2157,19907,61,404,3,3,0.923041261,0.991661225,0.712270128,0.73424613
4,540,bumptech/glide,2013/10/1,3,412,0,3,52,0,NA,NA,NA,NA,1653,21560,13,417,2,4,0.995160315,0.99449598,0.798951401,0.739411481
5,541,bumptech/glide,2014/1/1,5,457,0,3,45,0,NA,NA,NA,NA,16767,38327,110,527,2,5,1,0.997677877,0.697286555,0.754162524
6,542,bumptech/glide,2014/4/1,6,642,0,3,185,0,NA,NA,NA,NA,33009,71336,202,729,6,9,0.989372595,0.994816783,0.691170612,0.745737091
7,543,bumptech/glide,2014/7/1,9,822,0,5,180,0,NA,NA,NA,NA,26156,97492,226,955,7,13,0.932571239,0.985674038,0.733142343,0.7426823
8,544,bumptech/glide,2014/10/1,16,969,0,10,147,0,NA,NA,NA,NA,49769,147261,102,1057,8,18,0.995326982,0.99089332,0.876005363,0.793848476
9,545,bumptech/glide,2015/1/1,19,1125,0,6,156,0,NA,NA,NA,NA,16764,164025,212,1269,13,26,0.917312893,0.985318823,0.712497215,0.786088044
10,546,bumptech/glide,2015/4/1,29,1342,103,14,217,103,0.942082357,0.995955898,0.880027739,0.974989933,4382,168407,82,1351,11,32,0.908717481,0.9861978,0.671568876,0.784393593
11,547,bumptech/glide,2015/7/1,36,1371,109,12,29,6,0.948267074,0.99541619,0.833333333,0.931034483,3691,172098,56,1407,15,40,0.75217711,0.981999225,0.757838477,0.784136324
12,548,bumptech/glide,2015/10/1,43,1417,139,13,46,30,0.936255647,0.992897143,0.779487179,0.897101449,1283,173381,44,1451,16,51,0.723668485,0.982651386,0.844296616,0.786771092
13,549,bumptech/glide,2016/1/1,52,1459,139,13,42,0,0.947288323,0.993101612,NA,NA,2520,175901,37,1488,13,57,0.812433862,0.980952151,0.819223986,0.78735302
14,550,bumptech/glide,2016/4/1,58,1489,140,10,30,1,0.951231527,0.993073012,0.9,0.966666667,1729,177630,27,1515,10,62,0.950517319,0.98184253,0.900075633,0.78907828
