nuRepos,startDates,endDates,ginis,endLOCs,uniqueAuthorsFromBeginning,numAnnotationsThisWindow,numCommitsThisWindow
jenkinsci/jenkins,2012-12-05,2013-03-03,0.4052287582,83303,4,17,9
jenkinsci/jenkins,2013-03-22,2013-06-17,0.1666666667,86940,4,8,6
jenkinsci/jenkins,2013-06-26,2013-09-09,0.1714285714,91042,4,7,5
jenkinsci/jenkins,2013-10-22,2013-12-10,0.1587301587,83098,5,9,7
jenkinsci/jenkins,2014-01-27,2014-04-26,0.2989417989,85361,7,27,14
jenkinsci/jenkins,2014-05-04,2014-07-21,0.5586206897,86545,7,58,15
jenkinsci/jenkins,2014-08-18,2014-11-07,0.3014492754,85543,8,23,15
jenkinsci/jenkins,2014-11-17,2015-02-06,0.22,87184,10,15,10
jenkinsci/jenkins,2015-03-16,2015-06-14,0.325,91559,14,40,22
jenkinsci/jenkins,2015-06-17,2015-09-14,0.2083333333,92623,16,8,6
jenkinsci/jenkins,2015-10-06,2015-10-17,0,93789,17,3,3
jenkinsci/jenkins,2016-01-19,2016-04-01,0.3444444444,92554,19,20,9
jenkinsci/jenkins,2016-04-21,2016-07-15,0.4766666667,99762,23,40,15
jenkinsci/jenkins,2016-07-25,2016-10-20,0.317016317,102201,25,33,13
jenkinsci/jenkins,2016-11-01,2017-01-16,0.2916666667,105949,28,18,8
jenkinsci/jenkins,2017-01-31,2017-04-23,0.325,109934,29,15,8
jenkinsci/jenkins,2017-05-02,2017-07-29,0.6759581882,111158,29,41,7
jenkinsci/jenkins,2017-08-19,2017-10-30,0.2211538462,112027,32,13,8
jenkinsci/jenkins,2017-11-19,2018-02-05,0.4666666667,116436,34,30,13
jenkinsci/jenkins,2018-02-19,2018-04-29,0.3859649123,118628,35,19,9
jenkinsci/jenkins,2018-05-26,2018-08-02,0.2211538462,122185,36,13,8
jenkinsci/jenkins,2018-09-22,2018-11-22,0.4318181818,128207,39,40,11
jenkinsci/jenkins,2019-01-03,2019-04-02,0.1714285714,127381,40,7,5
jenkinsci/jenkins,2019-04-12,2019-07-05,0.25,128620,41,6,4
jenkinsci/jenkins,2019-08-01,2019-10-25,0.4565217391,130311,44,23,6
jenkinsci/jenkins,2019-10-31,2020-01-29,0.3351648352,130965,50,28,13
jenkinsci/jenkins,2020-02-06,2020-05-05,0.9329443447,134383,52,1671,20
jenkinsci/jenkins,2020-05-10,2020-07-21,0.4639423077,136939,55,128,13
apache/flink,2014-09-30,2014-09-30,0,151299,1,3,1
apache/flink,2016-04-05,2016-07-01,0.2878787879,303047,2,22,6
apache/flink,2016-07-20,2016-10-14,0.3111111111,368260,3,9,5
apache/flink,2016-11-10,2017-01-30,0.6227272727,392612,7,44,10
apache/flink,2017-02-14,2017-05-10,0.2621848739,435006,10,35,17
apache/flink,2017-05-17,2017-08-15,0.4047619048,446481,17,42,16
apache/flink,2017-08-16,2017-11-08,0.5552036199,474886,18,195,34
apache/flink,2017-11-15,2018-02-13,0.7668054729,512535,21,328,41
apache/flink,2018-02-14,2018-05-15,0.4662187857,533348,26,161,49
apache/flink,2018-05-16,2018-08-09,0.677238806,565658,30,737,56
apache/flink,2018-08-15,2018-11-12,0.6452329749,572155,37,279,50
apache/flink,2018-11-14,2019-02-12,0.5908070175,571875,45,285,50
apache/flink,2019-02-13,2019-05-13,0.5271224643,639536,57,242,55
apache/flink,2019-05-15,2019-08-08,0.5276889134,702151,72,245,74
apache/flink,2019-08-16,2019-11-14,0.5518711276,722225,83,269,75
apache/flink,2019-11-15,2020-02-12,0.4577587361,760943,93,308,97
apache/flink,2020-02-15,2020-05-15,0.4869416646,829762,103,482,136
apache/flink,2020-05-16,2020-07-24,0.513724481,857665,108,201,58
realm/realm-java,2015-12-16,2016-01-07,0.4166666667,35049,2,8,3
realm/realm-java,2017-07-24,2017-10-03,0.7399087399,69224,6,259,11
realm/realm-java,2017-10-23,2018-01-16,0.325,70778,6,20,4
realm/realm-java,2018-01-29,2018-04-17,0.5462962963,74492,6,36,6
realm/realm-java,2018-06-25,2018-08-31,0.3333333333,75820,6,8,3
realm/realm-java,2018-09-24,2018-11-05,0.5416666667,78820,7,16,3
realm/realm-java,2019-01-15,2019-03-21,0,79066,7,10,2
realm/realm-java,2019-05-01,2019-05-01,0,79264,7,1,1
realm/realm-java,2019-08-29,2019-09-30,0.45,74537,7,20,2
realm/realm-java,2019-12-12,2019-12-12,0,74781,7,31,1
